T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
75,-,-,-,-,-,-,-,-,-
74,-,-,-,-,-,-,-,-,-
73,144--240,34--40,37--40,26--40,23--40,23--40,28--40,26--40,27--40
72,-,-,-,-,-,-,-,-,-
71,122--143,30--33,31--36,23--25,22,21--22,-,23--25,26
70,-,-,-,-,-,-,24--27,-,-
69,121,29,30,22,20--21,19--20,-,22,-
68,120,24--28,-,-,-,-,22--23,-,-
67,118--119,23,-,21,-,18,-,21,25
66,112--117,21--22,27--29,-,-,-,21,20,-
65,111,-,-,20,-,17,-,-,-
64,110,20,26,-,19,16,20,19,23--24
63,106--109,-,-,19,-,-,19,-,-
62,105,-,25,-,-,-,-,18,-
61,103--104,19,-,18,18,15,18,-,22
60,102,-,24,-,-,-,-,-,-
59,101,-,-,17,-,-,-,17,-
58,99--100,18,-,-,17,14,17,16,21
57,98,-,23,-,-,-,-,-,20
56,97,17,-,16,-,-,-,-,19
55,96,-,-,-,-,13,16,15,-
54,95,16,-,-,16,-,-,-,18
53,93--94,-,22,15,-,-,-,-,17
52,92,15,-,-,-,12,15,14,16
51,90--91,-,21,-,15,-,-,-,-
50,89,14,20,14,-,-,-,-,15
49,88,-,-,-,-,-,-,13,-
48,87,13,19,-,14,11,14,-,14
47,85--86,-,-,13,-,-,-,-,-
46,84,-,18,-,-,-,-,12,-
45,-,-,-,-,13,-,-,-,13
44,83,12,17,-,-,-,13,-,-
43,82,-,-,-,-,-,-,-,12
42,80--81,-,16,12,12,-,-,11,-
41,78--79,11,-,-,-,-,12,-,11
40,77,-,15,-,-,10,-,-,-
39,-,-,14,-,11,-,-,-,-
38,75--76,-,-,-,-,-,11,-,-
37,72--74,-,13,11,-,-,-,-,-
36,70--71,10,12,-,-,-,-,10,10
35,66--69,-,-,-,-,-,-,-,-
34,64--65,-,-,-,-,-,-,-,-
33,-,-,11,-,10,-,-,-,-
32,-,-,-,10,-,-,-,-,-
31,63,-,-,-,-,-,10,-,-
30,-,-,-,-,-,-,-,-,-
29,61--62,-,10,-,-,-,-,-,-
28,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,-
26,60,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-
