form,scale,n,correct_r,mean_t1,sd_t1,mean_t2,sd_t2,ES,SEM,CV_90,CV_95
Preschool 25 Home,SOC,77,0.9,47.73,9.02,47,9.1,0.05,2.83,4.66,5.55
,VIS,77,0.84,47.94,8.35,46.58,8.8,0.11,3.39,5.57,6.64
,HEA,77,0.93,49.32,9,48.91,8.7,0.03,2.4,3.95,4.71
,TOU,77,0.83,46.95,8.37,46.49,9.15,0.04,3.43,5.64,6.72
,TS,77,0.85,47.05,8.65,45.26,8.14,0.14,3.4,5.59,6.66
,BOD,77,0.91,48.6,8.83,47.83,9.03,0.06,2.64,4.34,5.17
,BAL,77,0.82,49.51,8.88,49.06,9.36,0.03,3.8,6.24,7.44
,PLA,77,0.86,49.1,8.29,47.92,9.09,0.09,3.09,5.08,6.05
,TOT,77,0.96,47.88,8.25,46.75,8.82,0.09,1.73,2.85,3.4
Preschool 25 School,SOC,92,0.84,47.57,10.72,46.88,11.05,0.04,4.26,7.01,8.35
,VIS,92,0.86,48.62,9.94,48.72,10.08,0.01,3.77,6.21,7.4
,HEA,92,0.87,50.92,9.85,49.59,9.84,0.09,3.57,5.87,6.99
,TOU,92,0.83,50.41,9.43,48.62,9.43,0.13,3.89,6.41,7.63
,TS,92,0.75,49.79,8.95,48.52,9.08,0.09,4.45,7.32,8.72
,BOD,92,0.87,49.83,8.45,49.12,8.66,0.06,3.07,5.05,6.02
,BAL,92,0.83,49.64,8.86,48.86,8.78,0.06,3.64,5.98,7.13
,PLA,92,0.85,48.42,9.32,47.95,9.36,0.03,3.59,5.91,7.04
,TOT,92,0.95,49.21,10.38,47.98,10.63,0.08,2.39,3.93,4.69
