T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
75,185--240,34--40,32--40,33--40,31--40,33--40,31--40,32--40,32--40
74,177--184,32--33,31,31--32,30,30--32,-,31,-
73,172--176,31,30,30,29,-,30,30,30--31
72,164--171,-,29,-,27--28,29,28--29,28--29,-
71,159--163,30,26--28,26--29,24--26,27--28,26--27,27,29
70,141--158,-,25,25,22--23,25--26,24--25,26,-
69,125--140,-,23--24,24,20--21,23--24,23,24--25,28
68,122--124,29,21--22,23,18--19,21--22,20--22,20--23,26--27
67,102--121,-,20,21--22,17,19--20,19,18--19,25
66,94--101,28,18--19,20,16,18,17--18,17,-
65,89--93,27,17,19,15,17,16,16,23--24
64,86--88,-,16,17--18,14,16,15,15,-
63,84--85,26,15,16,-,15,14,14,22
62,82--83,25,-,15,13,14,-,-,21
61,79--81,24,14,-,-,-,13,13,20
60,75--78,-,13,14,12,13,-,-,19
59,72--74,23,-,-,-,-,12,12,-
58,71,22,12,13,-,12,-,-,18
57,69--70,-,-,-,11,-,-,-,17
56,68,21,-,12,-,-,11,11,16
55,67,20,11,-,-,11,-,-,15
54,65--66,-,-,-,-,-,-,-,14
53,64,19,-,11,-,-,-,-,-
52,-,-,-,-,-,-,-,-,13
51,63,18,-,-,-,-,-,-,-
50,62,17,-,-,-,-,-,-,12
49,-,16,-,-,-,-,-,-,-
48,61,15,-,-,-,-,-,-,-
47,-,-,-,-,-,-,-,-,11
46,-,14,-,-,10,-,10,10,-
45,-,-,10,-,-,10,-,-,-
44,-,13,-,10,-,-,-,-,-
43,-,-,-,-,-,-,-,-,-
42,-,12,-,-,-,-,-,-,-
41,60,-,-,-,-,-,-,-,10
40,-,11,-,-,-,-,-,-,-
39,-,-,-,-,-,-,-,-,-
38,-,-,-,-,-,-,-,-,-
37,-,-,-,-,-,-,-,-,-
36,-,-,-,-,-,-,-,-,-
35,-,-,-,-,-,-,-,-,-
34,-,10,-,-,-,-,-,-,-
33,-,-,-,-,-,-,-,-,-
32,-,-,-,-,-,-,-,-,-
31,-,-,-,-,-,-,-,-,-
30,-,-,-,-,-,-,-,-,-
29,-,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-
